2022-06-15 10:58:57,171 INFO  CellAmbassador - Start Cell
2022-06-15 10:58:57,204 INFO  CellAmbassador - Using network config:
2022-06-15 10:58:57,204 INFO  CellAmbassador - org.eclipse.mosaic.fed.cell.config.model.CNetworkProperties@668a32a4[id=globalNetwork,uplink.delay=[delayType: ConstantDelay, delay: 100000000],uplink.capacity=28000000,downlink.unicast.delay=[delayType: ConstantDelay, delay: 100000000],downlink.multicast.delay=[delayType: ConstantDelay, delay: 100000000],downlink.multicast.usableCapacity=0.6,downlink.capacity=42200000]
2022-06-15 10:58:57,216 INFO  CellAmbassador - Using region config:
2022-06-15 10:58:57,216 INFO  CellAmbassador - 
2022-06-15 10:58:57,225 INFO  ChainManager - Initialize ChainManager
2022-06-15 10:58:57,226 INFO  ChainManager - Adding Module Upstream
2022-06-15 10:58:57,226 INFO  ChainManager - Adding Module Geocaster
2022-06-15 10:58:57,226 INFO  ChainManager - Adding Module Downstream
2022-06-15 10:58:57,226 INFO  CellAmbassador - Finished Initialization, waiting for Interactions...
2022-06-15 10:58:59,130 INFO  CellAmbassador - Enabled (Configured) Cell Communication for entity=server_0, t=0.000,000,000 s with capacity in downlink=10000000000 and uplink=10000000000
2022-06-15 10:58:59,155 INFO  CellAmbassador - Enabled (Configured) Cell Communication for vehicle=veh_0, t=6.000,000,000 s
2022-06-15 10:58:59,225 INFO  CellAmbassador - Enabled (Configured) Cell Communication for vehicle=veh_4, t=14.000,000,000 s
2022-06-15 10:58:59,277 INFO  CellAmbassador - Enabled (Configured) Cell Communication for vehicle=veh_8, t=22.000,000,000 s
2022-06-15 10:58:59,304 INFO  CellAmbassador - Enabled (Configured) Cell Communication for vehicle=veh_10, t=26.000,000,000 s
2022-06-15 10:58:59,342 INFO  CellAmbassador - Enabled (Configured) Cell Communication for vehicle=veh_14, t=34.000,000,000 s
2022-06-15 10:58:59,375 INFO  CellAmbassador - Enabled (Configured) Cell Communication for vehicle=veh_18, t=42.000,000,000 s
2022-06-15 10:58:59,394 INFO  CellAmbassador - Enabled (Configured) Cell Communication for vehicle=veh_20, t=46.000,000,000 s
2022-06-15 10:58:59,429 INFO  CellAmbassador - Enabled (Configured) Cell Communication for vehicle=veh_24, t=54.000,000,000 s
2022-06-15 10:58:59,459 INFO  CellAmbassador - Enabled (Configured) Cell Communication for vehicle=veh_28, t=62.000,000,000 s
2022-06-15 10:58:59,477 INFO  CellAmbassador - Enabled (Configured) Cell Communication for vehicle=veh_30, t=66.000,000,000 s
2022-06-15 10:58:59,510 INFO  CellAmbassador - Enabled (Configured) Cell Communication for vehicle=veh_34, t=74.000,000,000 s
2022-06-15 10:58:59,545 INFO  CellAmbassador - Enabled (Configured) Cell Communication for vehicle=veh_38, t=82.000,000,000 s
2022-06-15 10:58:59,636 INFO  CellAmbassador - Enabled (Configured) Cell Communication for vehicle=veh_40, t=86.000,000,000 s
2022-06-15 10:58:59,704 INFO  CellAmbassador - Enabled (Configured) Cell Communication for vehicle=veh_44, t=94.000,000,000 s
2022-06-15 10:58:59,779 INFO  CellAmbassador - Enabled (Configured) Cell Communication for vehicle=veh_48, t=102.000,000,000 s
2022-06-15 10:58:59,824 INFO  CellAmbassador - Enabled (Configured) Cell Communication for vehicle=veh_50, t=106.000,000,000 s
2022-06-15 10:58:59,913 INFO  CellAmbassador - Enabled (Configured) Cell Communication for vehicle=veh_54, t=114.000,000,000 s
2022-06-15 10:59:00,018 INFO  CellAmbassador - Enabled (Configured) Cell Communication for vehicle=veh_58, t=122.000,000,000 s
2022-06-15 10:59:00,081 INFO  CellAmbassador - Enabled (Configured) Cell Communication for vehicle=veh_60, t=126.000,000,000 s
2022-06-15 10:59:00,189 INFO  CellAmbassador - Enabled (Configured) Cell Communication for vehicle=veh_64, t=134.000,000,000 s
2022-06-15 10:59:00,285 INFO  CellAmbassador - Enabled (Configured) Cell Communication for vehicle=veh_68, t=142.000,000,000 s
2022-06-15 10:59:00,337 INFO  CellAmbassador - Enabled (Configured) Cell Communication for vehicle=veh_70, t=146.000,000,000 s
2022-06-15 10:59:00,438 INFO  CellAmbassador - Enabled (Configured) Cell Communication for vehicle=veh_74, t=154.000,000,000 s
2022-06-15 10:59:00,542 INFO  CellAmbassador - Enabled (Configured) Cell Communication for vehicle=veh_78, t=162.000,000,000 s
2022-06-15 10:59:00,601 INFO  CellAmbassador - Enabled (Configured) Cell Communication for vehicle=veh_80, t=166.000,000,000 s
2022-06-15 10:59:00,716 INFO  CellAmbassador - Enabled (Configured) Cell Communication for vehicle=veh_84, t=174.000,000,000 s
2022-06-15 10:59:00,830 INFO  CellAmbassador - Enabled (Configured) Cell Communication for vehicle=veh_88, t=182.000,000,000 s
2022-06-15 10:59:00,889 INFO  CellAmbassador - Enabled (Configured) Cell Communication for vehicle=veh_90, t=186.000,000,000 s
2022-06-15 10:59:01,000 INFO  CellAmbassador - Enabled (Configured) Cell Communication for vehicle=veh_94, t=194.000,000,000 s
2022-06-15 10:59:01,115 INFO  CellAmbassador - Enabled (Configured) Cell Communication for vehicle=veh_98, t=202.000,000,000 s
2022-06-15 10:59:01,175 INFO  CellAmbassador - Enabled (Configured) Cell Communication for vehicle=veh_100, t=206.000,000,000 s
