2022-06-15 10:58:57,153 INFO  SnsAmbassador - Init simulation with startTime=0, endTime=1000000000000
2022-06-15 10:58:57,171 INFO  SnsAmbassador - Initialized SNS
2022-06-15 10:58:59,191 INFO  SnsAmbassador - Radio configured in mode SINGLE with communication radius 700.0 for node id=veh_1 @time=8.000,000,000 s
2022-06-15 10:58:59,193 INFO  SnsAmbassador - Added Vehicle id=veh_1 position=GeoPoint{lat=52.656003,lon=13.569115,alt=0.00} @time=9.000,000,000 s
2022-06-15 10:58:59,212 INFO  SnsAmbassador - Radio configured in mode SINGLE with communication radius 700.0 for node id=veh_3 @time=12.000,000,000 s
2022-06-15 10:58:59,214 INFO  SnsAmbassador - Added Vehicle id=veh_3 position=GeoPoint{lat=52.656002,lon=13.569115,alt=0.00} @time=13.000,000,000 s
2022-06-15 10:58:59,244 INFO  SnsAmbassador - Radio configured in mode SINGLE with communication radius 700.0 for node id=veh_5 @time=16.000,000,000 s
2022-06-15 10:58:59,246 INFO  SnsAmbassador - Added Vehicle id=veh_5 position=GeoPoint{lat=52.655997,lon=13.569114,alt=0.00} @time=17.000,000,000 s
2022-06-15 10:58:59,265 INFO  SnsAmbassador - Radio configured in mode SINGLE with communication radius 700.0 for node id=veh_7 @time=20.000,000,000 s
2022-06-15 10:58:59,267 INFO  SnsAmbassador - Added Vehicle id=veh_7 position=GeoPoint{lat=52.656003,lon=13.569115,alt=0.00} @time=21.000,000,000 s
2022-06-15 10:58:59,295 INFO  SnsAmbassador - Radio configured in mode SINGLE with communication radius 700.0 for node id=veh_9 @time=24.000,000,000 s
2022-06-15 10:58:59,297 INFO  SnsAmbassador - Added Vehicle id=veh_9 position=GeoPoint{lat=52.655999,lon=13.569114,alt=0.00} @time=25.000,000,000 s
2022-06-15 10:58:59,317 INFO  SnsAmbassador - Radio configured in mode SINGLE with communication radius 700.0 for node id=veh_11 @time=28.000,000,000 s
2022-06-15 10:58:59,319 INFO  SnsAmbassador - Added Vehicle id=veh_11 position=GeoPoint{lat=52.656001,lon=13.569115,alt=0.00} @time=29.000,000,000 s
2022-06-15 10:58:59,334 INFO  SnsAmbassador - Radio configured in mode SINGLE with communication radius 700.0 for node id=veh_13 @time=32.000,000,000 s
2022-06-15 10:58:59,336 INFO  SnsAmbassador - Added Vehicle id=veh_13 position=GeoPoint{lat=52.656001,lon=13.569114,alt=0.00} @time=33.000,000,000 s
2022-06-15 10:58:59,354 INFO  SnsAmbassador - Radio configured in mode SINGLE with communication radius 700.0 for node id=veh_15 @time=36.000,000,000 s
2022-06-15 10:58:59,356 INFO  SnsAmbassador - Added Vehicle id=veh_15 position=GeoPoint{lat=52.656000,lon=13.569114,alt=0.00} @time=37.000,000,000 s
2022-06-15 10:58:59,367 INFO  SnsAmbassador - Radio configured in mode SINGLE with communication radius 700.0 for node id=veh_17 @time=40.000,000,000 s
2022-06-15 10:58:59,369 INFO  SnsAmbassador - Added Vehicle id=veh_17 position=GeoPoint{lat=52.655996,lon=13.569114,alt=0.00} @time=41.000,000,000 s
2022-06-15 10:58:59,385 INFO  SnsAmbassador - Radio configured in mode SINGLE with communication radius 700.0 for node id=veh_19 @time=44.000,000,000 s
2022-06-15 10:58:59,388 INFO  SnsAmbassador - Added Vehicle id=veh_19 position=GeoPoint{lat=52.655998,lon=13.569114,alt=0.00} @time=45.000,000,000 s
2022-06-15 10:58:59,407 INFO  SnsAmbassador - Radio configured in mode SINGLE with communication radius 700.0 for node id=veh_21 @time=48.000,000,000 s
2022-06-15 10:58:59,410 INFO  SnsAmbassador - Added Vehicle id=veh_21 position=GeoPoint{lat=52.655999,lon=13.569114,alt=0.00} @time=49.000,000,000 s
2022-06-15 10:58:59,421 INFO  SnsAmbassador - Radio configured in mode SINGLE with communication radius 700.0 for node id=veh_23 @time=52.000,000,000 s
2022-06-15 10:58:59,423 INFO  SnsAmbassador - Added Vehicle id=veh_23 position=GeoPoint{lat=52.655995,lon=13.569114,alt=0.00} @time=53.000,000,000 s
2022-06-15 10:58:59,439 INFO  SnsAmbassador - Radio configured in mode SINGLE with communication radius 700.0 for node id=veh_25 @time=56.000,000,000 s
2022-06-15 10:58:59,441 INFO  SnsAmbassador - Added Vehicle id=veh_25 position=GeoPoint{lat=52.656001,lon=13.569114,alt=0.00} @time=57.000,000,000 s
2022-06-15 10:58:59,451 INFO  SnsAmbassador - Radio configured in mode SINGLE with communication radius 700.0 for node id=veh_27 @time=60.000,000,000 s
2022-06-15 10:58:59,454 INFO  SnsAmbassador - Added Vehicle id=veh_27 position=GeoPoint{lat=52.655996,lon=13.569114,alt=0.00} @time=61.000,000,000 s
2022-06-15 10:58:59,469 INFO  SnsAmbassador - Radio configured in mode SINGLE with communication radius 700.0 for node id=veh_29 @time=64.000,000,000 s
2022-06-15 10:58:59,471 INFO  SnsAmbassador - Added Vehicle id=veh_29 position=GeoPoint{lat=52.655996,lon=13.569114,alt=0.00} @time=65.000,000,000 s
2022-06-15 10:58:59,488 INFO  SnsAmbassador - Radio configured in mode SINGLE with communication radius 700.0 for node id=veh_31 @time=68.000,000,000 s
2022-06-15 10:58:59,490 INFO  SnsAmbassador - Added Vehicle id=veh_31 position=GeoPoint{lat=52.655998,lon=13.569114,alt=0.00} @time=69.000,000,000 s
2022-06-15 10:58:59,502 INFO  SnsAmbassador - Radio configured in mode SINGLE with communication radius 700.0 for node id=veh_33 @time=72.000,000,000 s
2022-06-15 10:58:59,504 INFO  SnsAmbassador - Added Vehicle id=veh_33 position=GeoPoint{lat=52.655995,lon=13.569114,alt=0.00} @time=73.000,000,000 s
2022-06-15 10:58:59,520 INFO  SnsAmbassador - Radio configured in mode SINGLE with communication radius 700.0 for node id=veh_35 @time=76.000,000,000 s
2022-06-15 10:58:59,522 INFO  SnsAmbassador - Added Vehicle id=veh_35 position=GeoPoint{lat=52.655993,lon=13.569113,alt=0.00} @time=77.000,000,000 s
2022-06-15 10:58:59,535 INFO  SnsAmbassador - Radio configured in mode SINGLE with communication radius 700.0 for node id=veh_37 @time=80.000,000,000 s
2022-06-15 10:58:59,538 INFO  SnsAmbassador - Added Vehicle id=veh_37 position=GeoPoint{lat=52.655995,lon=13.569114,alt=0.00} @time=81.000,000,000 s
2022-06-15 10:58:59,618 INFO  SnsAmbassador - Radio configured in mode SINGLE with communication radius 700.0 for node id=veh_39 @time=84.000,000,000 s
